Produto,Preço,Descrição,Cidade
Lenovo Gamer Notebook i5-13600K 64GB 4TB SSD,R$ 10.990,"Notebook gamer Lenovo com processador Intel Core i5-13600K, 64GB de memória RAM, 4TB SSD de armazenamento, placa de vídeo NVIDIA RTX 4070. Excelente para jogos e trabalho.","Joinville, SC"
Apple Notebook Pro 32GB 512GB SSD,R$ 5.063,"Notebook Apple com processador Apple M2 Pro, 32GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","Palhoça, SC"
Asus Notebook i9-13900K 64GB 2TB SSD,R$ 8.666,"Notebook Asus com processador Intel Core i9-13900K, 64GB de memória RAM, 2TB SSD de armazenamento. Excelente para trabalho.","Florianópolis, SC"
MSI Gamer Notebook i9-12900K 32GB 1TB SSD,R$ 10.744,"Notebook gamer MSI com processador Intel Core i9-12900K, 32GB de memória RAM, 1TB SSD de armazenamento, placa de vídeo AMD RX 7900 XT. Excelente para jogos e trabalho.","Balneário Camboriú, SC"
Dell Desktop i5-13600K 64GB 1TB SSD,R$ 9.359,"Computador Dell com processador Intel Core i5-13600K, 64GB de memória RAM, 1TB SSD de armazenamento. Ideal para uso profissional.","Brusque, SC"
LG Gamer Notebook i9-12900K 16GB 512GB SSD,R$ 5.813,"Notebook gamer LG com processador Intel Core i9-12900K, 16GB de memória RAM, 512GB SSD de armazenamento, placa de vídeo AMD RX 6800 XT. Excelente para jogos e trabalho.","Lages, SC"
Lenovo Notebook i9-13900K 8GB 4TB SSD,R$ 8.877,"Notebook Lenovo com processador Intel Core i9-13900K, 8GB de memória RAM, 4TB SSD de armazenamento. Excelente para trabalho.","Lages, SC"
Asus Notebook i9-13900K 16GB 512GB SSD,R$ 6.982,"Notebook Asus com processador Intel Core i9-13900K, 16GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","Lages, SC"
Asus Notebook 9 64GB 256GB SSD,R$ 7.435,"Notebook Asus com processador AMD Ryzen 9 5950X, 64GB de memória RAM, 256GB SSD de armazenamento. Excelente para trabalho.","Chapecó, SC"
Lenovo Desktop i9-13900K 64GB 1TB SSD,R$ 7.557,"Computador Lenovo com processador Intel Core i9-13900K, 64GB de memória RAM, 1TB SSD de armazenamento. Ideal para uso profissional.","Blumenau, SC"
Samsung Notebook i9-13900K 32GB 4TB SSD,R$ 8.492,"Notebook Samsung com processador Intel Core i9-13900K, 32GB de memória RAM, 4TB SSD de armazenamento. Excelente para trabalho.","Brusque, SC"
Acer Desktop 9 32GB 4TB SSD,R$ 10.839,"Computador Acer com processador AMD Ryzen 9 5950X, 32GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","São José, SC"
Asus Desktop 5 16GB 512GB SSD,R$ 4.593,"Computador Asus com processador AMD Ryzen 5 7600X, 16GB de memória RAM, 512GB SSD de armazenamento. Ideal para uso profissional.","Jaraguá do Sul, SC"
Acer Gamer Desktop i9-12900K 64GB 512GB SSD,R$ 10.976,"Computador gamer Acer com processador Intel Core i9-12900K, 64GB de memória RAM, 512GB SSD de armazenamento, placa de vídeo AMD RX 7900 XTX. Ideal para jogos e uso profissional.","Joinville, SC"
Apple Desktop i9-13900K 8GB 4TB SSD,R$ 2.618,"Computador Apple com processador Intel Core i9-13900K, 8GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","Jaraguá do Sul, SC"
Acer Desktop 9 16GB 1TB SSD,R$ 8.238,"Computador Acer com processador AMD Ryzen 9 7950X, 16GB de memória RAM, 1TB SSD de armazenamento. Ideal para uso profissional.","Jaraguá do Sul, SC"
MSI Notebook 9 8GB 256GB SSD,R$ 9.533,"Notebook MSI com processador AMD Ryzen 9 5950X, 8GB de memória RAM, 256GB SSD de armazenamento. Excelente para trabalho.","Chapecó, SC"
HP Gamer Desktop i9-13900K 64GB 512GB SSD,R$ 4.383,"Computador gamer HP com processador Intel Core i9-13900K, 64GB de memória RAM, 512GB SSD de armazenamento, placa de vídeo NVIDIA RTX 4080. Ideal para jogos e uso profissional.","Brusque, SC"
Gigabyte Gamer Desktop i9-12900K 8GB 1TB SSD,R$ 9.822,"Computador gamer Gigabyte com processador Intel Core i9-12900K, 8GB de memória RAM, 1TB SSD de armazenamento, placa de vídeo AMD RX 7900 XTX. Ideal para jogos e uso profissional.","Balneário Camboriú, SC"
Asus Desktop Pro 16GB 2TB SSD,R$ 4.088,"Computador Asus com processador Apple M2 Pro, 16GB de memória RAM, 2TB SSD de armazenamento. Ideal para uso profissional.","Jaraguá do Sul, SC"
Samsung Desktop i9-12900K 64GB 2TB SSD,R$ 11.517,"Computador Samsung com processador Intel Core i9-12900K, 64GB de memória RAM, 2TB SSD de armazenamento. Ideal para uso profissional.","Florianópolis, SC"
Apple Desktop 5 32GB 4TB SSD,R$ 12.370,"Computador Apple com processador AMD Ryzen 5 7600X, 32GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","Florianópolis, SC"
Apple Desktop 9 16GB 512GB SSD,R$ 12.072,"Computador Apple com processador AMD Ryzen 9 7950X, 16GB de memória RAM, 512GB SSD de armazenamento. Ideal para uso profissional.","Itajaí, SC"
Asus Desktop i9-12900K 64GB 4TB SSD,R$ 10.570,"Computador Asus com processador Intel Core i9-12900K, 64GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","São José, SC"
Samsung Desktop 9 32GB 2TB SSD,R$ 9.750,"Computador Samsung com processador AMD Ryzen 9 7950X, 32GB de memória RAM, 2TB SSD de armazenamento. Ideal para uso profissional.","Criciúma, SC"
HP Gamer Desktop i9-12900K 16GB 2TB SSD,R$ 2.788,"Computador gamer HP com processador Intel Core i9-12900K, 16GB de memória RAM, 2TB SSD de armazenamento, placa de vídeo AMD RX 7900 XTX. Ideal para jogos e uso profissional.","Brusque, SC"
Asus Notebook i5-13600K 8GB 512GB SSD,R$ 3.960,"Notebook Asus com processador Intel Core i5-13600K, 8GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","Blumenau, SC"
Acer Gamer Desktop i7-13700K 16GB 1TB SSD,R$ 3.348,"Computador gamer Acer com processador Intel Core i7-13700K, 16GB de memória RAM, 1TB SSD de armazenamento, placa de vídeo NVIDIA RTX 4090. Ideal para jogos e uso profissional.","Chapecó, SC"
Apple Desktop i5-13600K 16GB 1TB SSD,R$ 9.268,"Computador Apple com processador Intel Core i5-13600K, 16GB de memória RAM, 1TB SSD de armazenamento. Ideal para uso profissional.","Blumenau, SC"
HP Notebook 9 64GB 256GB SSD,R$ 6.169,"Notebook HP com processador AMD Ryzen 9 7950X, 64GB de memória RAM, 256GB SSD de armazenamento. Excelente para trabalho.","Chapecó, SC"
MSI Notebook i5-13600K 8GB 256GB SSD,R$ 8.289,"Notebook MSI com processador Intel Core i5-13600K, 8GB de memória RAM, 256GB SSD de armazenamento. Excelente para trabalho.","Joinville, SC"
Dell Desktop i5-13600K 32GB 4TB SSD,R$ 5.343,"Computador Dell com processador Intel Core i5-13600K, 32GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","Blumenau, SC"
Samsung Notebook i5-13600K 64GB 1TB SSD,R$ 10.444,"Notebook Samsung com processador Intel Core i5-13600K, 64GB de memória RAM, 1TB SSD de armazenamento. Excelente para trabalho.","Balneário Camboriú, SC"
Samsung Gamer Desktop undefined 64GB 512GB SSD,R$ 8.744,"Computador gamer Samsung com processador Apple M2, 64GB de memória RAM, 512GB SSD de armazenamento, placa de vídeo AMD RX 6800 XT. Ideal para jogos e uso profissional.","Lages, SC"
Lenovo Notebook 9 8GB 256GB SSD,R$ 7.882,"Notebook Lenovo com processador AMD Ryzen 9 5950X, 8GB de memória RAM, 256GB SSD de armazenamento. Excelente para trabalho.","Criciúma, SC"
Acer Notebook i9-13900K 8GB 512GB SSD,R$ 3.855,"Notebook Acer com processador Intel Core i9-13900K, 8GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","Lages, SC"
MSI Notebook 5 16GB 256GB SSD,R$ 6.720,"Notebook MSI com processador AMD Ryzen 5 7600X, 16GB de memória RAM, 256GB SSD de armazenamento. Excelente para trabalho.","Brusque, SC"
HP Gamer Notebook Pro 8GB 4TB SSD,R$ 10.729,"Notebook gamer HP com processador Apple M2 Pro, 8GB de memória RAM, 4TB SSD de armazenamento, placa de vídeo NVIDIA RTX 4070. Excelente para jogos e trabalho.","Florianópolis, SC"
Acer Notebook Pro 16GB 1TB SSD,R$ 9.196,"Notebook Acer com processador Apple M2 Pro, 16GB de memória RAM, 1TB SSD de armazenamento. Excelente para trabalho.","Jaraguá do Sul, SC"
Dell Desktop 9 8GB 1TB SSD,R$ 3.622,"Computador Dell com processador AMD Ryzen 9 5950X, 8GB de memória RAM, 1TB SSD de armazenamento. Ideal para uso profissional.","Palhoça, SC"
Asus Desktop i5-13600K 16GB 1TB SSD,R$ 11.764,"Computador Asus com processador Intel Core i5-13600K, 16GB de memória RAM, 1TB SSD de armazenamento. Ideal para uso profissional.","Florianópolis, SC"
LG Notebook Pro 16GB 1TB SSD,R$ 4.060,"Notebook LG com processador Apple M2 Pro, 16GB de memória RAM, 1TB SSD de armazenamento. Excelente para trabalho.","Joinville, SC"
Dell Desktop undefined 32GB 512GB SSD,R$ 9.344,"Computador Dell com processador Apple M2, 32GB de memória RAM, 512GB SSD de armazenamento. Ideal para uso profissional.","Itajaí, SC"
MSI Desktop 9 8GB 256GB SSD,R$ 4.485,"Computador MSI com processador AMD Ryzen 9 7950X, 8GB de memória RAM, 256GB SSD de armazenamento. Ideal para uso profissional.","Palhoça, SC"
Asus Desktop i7-13700K 8GB 2TB SSD,R$ 12.470,"Computador Asus com processador Intel Core i7-13700K, 8GB de memória RAM, 2TB SSD de armazenamento. Ideal para uso profissional.","Joinville, SC"
HP Gamer Desktop i5-13600K 16GB 256GB SSD,R$ 11.443,"Computador gamer HP com processador Intel Core i5-13600K, 16GB de memória RAM, 256GB SSD de armazenamento, placa de vídeo AMD RX 7900 XT. Ideal para jogos e uso profissional.","Itajaí, SC"
Dell Gamer Desktop i9-13900K 32GB 4TB SSD,R$ 4.563,"Computador gamer Dell com processador Intel Core i9-13900K, 32GB de memória RAM, 4TB SSD de armazenamento, placa de vídeo NVIDIA RTX 3080. Ideal para jogos e uso profissional.","Joinville, SC"
MSI Notebook i9-12900K 32GB 4TB SSD,R$ 9.965,"Notebook MSI com processador Intel Core i9-12900K, 32GB de memória RAM, 4TB SSD de armazenamento. Excelente para trabalho.","São José, SC"
Lenovo Desktop i5-13600K 8GB 256GB SSD,R$ 4.057,"Computador Lenovo com processador Intel Core i5-13600K, 8GB de memória RAM, 256GB SSD de armazenamento. Ideal para uso profissional.","Blumenau, SC"
Dell Desktop i5-13600K 8GB 2TB SSD,R$ 3.496,"Computador Dell com processador Intel Core i5-13600K, 8GB de memória RAM, 2TB SSD de armazenamento. Ideal para uso profissional.","Balneário Camboriú, SC"
MSI Desktop i9-12900K 64GB 1TB SSD,R$ 9.597,"Computador MSI com processador Intel Core i9-12900K, 64GB de memória RAM, 1TB SSD de armazenamento. Ideal para uso profissional.","Palhoça, SC"
LG Desktop i5-13600K 8GB 4TB SSD,R$ 6.542,"Computador LG com processador Intel Core i5-13600K, 8GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","Balneário Camboriú, SC"
Asus Desktop 5 64GB 4TB SSD,R$ 8.055,"Computador Asus com processador AMD Ryzen 5 7600X, 64GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","Itajaí, SC"
LG Desktop 9 16GB 2TB SSD,R$ 10.925,"Computador LG com processador AMD Ryzen 9 5950X, 16GB de memória RAM, 2TB SSD de armazenamento. Ideal para uso profissional.","Joinville, SC"
Dell Desktop undefined 32GB 2TB SSD,R$ 7.479,"Computador Dell com processador Apple M2, 32GB de memória RAM, 2TB SSD de armazenamento. Ideal para uso profissional.","Criciúma, SC"
Apple Gamer Desktop i5-13600K 32GB 1TB SSD,R$ 6.593,"Computador gamer Apple com processador Intel Core i5-13600K, 32GB de memória RAM, 1TB SSD de armazenamento, placa de vídeo NVIDIA RTX 4080. Ideal para jogos e uso profissional.","Criciúma, SC"
Samsung Notebook 9 32GB 512GB SSD,R$ 6.999,"Notebook Samsung com processador AMD Ryzen 9 5950X, 32GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","Florianópolis, SC"
LG Notebook 9 64GB 1TB SSD,R$ 7.046,"Notebook LG com processador AMD Ryzen 9 5950X, 64GB de memória RAM, 1TB SSD de armazenamento. Excelente para trabalho.","Itajaí, SC"
Acer Notebook 5 64GB 512GB SSD,R$ 10.829,"Notebook Acer com processador AMD Ryzen 5 7600X, 64GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","Lages, SC"
Apple Desktop undefined 8GB 256GB SSD,R$ 10.170,"Computador Apple com processador Apple M2, 8GB de memória RAM, 256GB SSD de armazenamento. Ideal para uso profissional.","São José, SC"
HP Notebook Pro 8GB 512GB SSD,R$ 6.109,"Notebook HP com processador Apple M2 Pro, 8GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","São José, SC"
Gigabyte Desktop Pro 32GB 256GB SSD,R$ 12.244,"Computador Gigabyte com processador Apple M2 Pro, 32GB de memória RAM, 256GB SSD de armazenamento. Ideal para uso profissional.","Joinville, SC"
LG Gamer Notebook undefined 8GB 256GB SSD,R$ 6.577,"Notebook gamer LG com processador Apple M2, 8GB de memória RAM, 256GB SSD de armazenamento, placa de vídeo NVIDIA RTX 4070. Excelente para jogos e trabalho.","São José, SC"
Asus Desktop 9 16GB 512GB SSD,R$ 10.142,"Computador Asus com processador AMD Ryzen 9 5950X, 16GB de memória RAM, 512GB SSD de armazenamento. Ideal para uso profissional.","Jaraguá do Sul, SC"
Lenovo Notebook i9-13900K 32GB 4TB SSD,R$ 7.368,"Notebook Lenovo com processador Intel Core i9-13900K, 32GB de memória RAM, 4TB SSD de armazenamento. Excelente para trabalho.","Lages, SC"
Dell Gamer Notebook i9-13900K 8GB 256GB SSD,R$ 4.115,"Notebook gamer Dell com processador Intel Core i9-13900K, 8GB de memória RAM, 256GB SSD de armazenamento, placa de vídeo NVIDIA RTX 3080. Excelente para jogos e trabalho.","Criciúma, SC"
Gigabyte Gamer Notebook 9 8GB 256GB SSD,R$ 8.587,"Notebook gamer Gigabyte com processador AMD Ryzen 9 5950X, 8GB de memória RAM, 256GB SSD de armazenamento, placa de vídeo AMD RX 7900 XT. Excelente para jogos e trabalho.","Palhoça, SC"
MSI Gamer Desktop i7-13700K 8GB 256GB SSD,R$ 9.596,"Computador gamer MSI com processador Intel Core i7-13700K, 8GB de memória RAM, 256GB SSD de armazenamento, placa de vídeo NVIDIA RTX 3080. Ideal para jogos e uso profissional.","Lages, SC"
LG Gamer Desktop i9-13900K 8GB 256GB SSD,R$ 6.823,"Computador gamer LG com processador Intel Core i9-13900K, 8GB de memória RAM, 256GB SSD de armazenamento, placa de vídeo AMD RX 7900 XT. Ideal para jogos e uso profissional.","Balneário Camboriú, SC"
MSI Gamer Notebook i9-13900K 64GB 4TB SSD,R$ 6.879,"Notebook gamer MSI com processador Intel Core i9-13900K, 64GB de memória RAM, 4TB SSD de armazenamento, placa de vídeo NVIDIA RTX 4070. Excelente para jogos e trabalho.","Lages, SC"
HP Gamer Notebook undefined 32GB 2TB SSD,R$ 7.339,"Notebook gamer HP com processador Apple M2, 32GB de memória RAM, 2TB SSD de armazenamento, placa de vídeo NVIDIA RTX 4080. Excelente para jogos e trabalho.","Itajaí, SC"
HP Desktop Pro 32GB 4TB SSD,R$ 3.805,"Computador HP com processador Apple M2 Pro, 32GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","Brusque, SC"
Apple Notebook 9 16GB 4TB SSD,R$ 10.496,"Notebook Apple com processador AMD Ryzen 9 7950X, 16GB de memória RAM, 4TB SSD de armazenamento. Excelente para trabalho.","Blumenau, SC"
Acer Gamer Desktop i7-13700K 8GB 1TB SSD,R$ 10.034,"Computador gamer Acer com processador Intel Core i7-13700K, 8GB de memória RAM, 1TB SSD de armazenamento, placa de vídeo NVIDIA RTX 4090. Ideal para jogos e uso profissional.","Joinville, SC"
Asus Notebook 9 8GB 4TB SSD,R$ 9.214,"Notebook Asus com processador AMD Ryzen 9 5950X, 8GB de memória RAM, 4TB SSD de armazenamento. Excelente para trabalho.","Chapecó, SC"
Samsung Notebook 9 8GB 512GB SSD,R$ 6.113,"Notebook Samsung com processador AMD Ryzen 9 7950X, 8GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","Florianópolis, SC"
